Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
OR52B6,1.605290246,-1.998033255,10.71581853,0.001906029,0.017765529,2.809935115,395,1.750421846,Upregulated
PRSS41,-1.397603289,-0.727699631,12.869467,0.000793159,0.009808876,2.806919543,396,2.008380751,Downregulated
FAM72C,1.528496075,-1.439454291,11.40300201,0.00146908,0.014856883,2.794201313,397,1.828072285,Upregulated
IFITM1,1.378465462,9.948485492,12.94647958,0.000755913,0.009489638,2.788291484,398,2.022750341,Upregulated
GBP4,1.473488211,8.499474397,11.84371409,0.001207622,0.012999638,2.779100049,399,1.886068736,Upregulated
OPLAH,1.77826433,1.603526241,9.344450291,0.003649286,0.02746518,2.776257486,400,1.561217553,Upregulated
RPS27,-1.007193996,10.15665111,19.30617379,6.12E-05,0.001756521,2.775168654,401,2.755346702,Downregulated
SLC1A3,1.392085036,1.48545725,12.58723532,0.000879981,0.010398492,2.760545908,402,1.983029654,Upregulated
PLSCR4,1.945427669,-0.189910567,8.272261735,0.006008545,0.038144505,2.759721461,403,1.418568012,Upregulated
CD200R1L,-1.236246225,-1.423623155,14.69281993,0.00037184,0.005869122,2.758593041,404,2.231426868,Downregulated
CACNG6,-1.214001276,0.264915549,15.04421198,0.000320818,0.005392954,2.753565285,405,2.268173304,Downregulated
ARL8A,1.105317823,5.931711157,16.84548031,0.000156368,0.003344415,2.736413037,406,2.475679828,Upregulated
LAG3,1.55974608,3.815849736,10.77984857,0.001918279,0.017842148,2.727298485,407,1.74855287,Upregulated
CDK1,1.192854826,1.221500587,15.18925823,0.000301303,0.005190533,2.725420478,408,2.284788073,Upregulated
ZNF684,1.441242252,3.469308507,11.86721466,0.001195539,0.012900446,2.723076289,409,1.889395267,Upregulated
ENPEP,-1.407666313,-2.253989406,11.94028468,0.001041561,0.011677221,2.720541057,410,1.932660483,Downregulated
SRC,1.02455638,5.105781631,18.33282473,8.83E-05,0.002257734,2.711311409,411,2.646327192,Upregulated
STAT1,1.192702212,9.699887867,15.02307805,0.000321815,0.005392616,2.705287757,412,2.268200502,Upregulated
SLC26A8,1.313599434,5.17732386,13.12253671,0.000702141,0.00906301,2.683325765,413,2.04272756,Upregulated
PLA1A,1.498952049,-2.054451458,11.00324179,0.001675768,0.016222708,2.682939279,414,1.789876654,Upregulated
AANAT,1.194463954,1.981573404,14.72313602,0.000363394,0.005774044,2.67383135,415,2.238519916,Upregulated
HK3,1.125901311,8.016023228,15.86036646,0.000230286,0.004369508,2.656640082,416,2.359567446,Upregulated
POLR2J3,-1.005318307,4.123616229,18.2312217,9.18E-05,0.002326015,2.64739268,417,2.633387517,Downregulated
E2F1,1.13879802,2.112317141,15.50591393,0.000265238,0.004799588,2.640640338,418,2.318796039,Upregulated
LAMC3,-1.313037301,-1.152584094,12.83974377,0.000803313,0.009842813,2.635109294,419,2.006880758,Downregulated
MYOF,1.244415696,6.35616083,13.72499241,0.000546548,0.007729493,2.628018054,420,2.111849009,Upregulated
GCH1,1.314531894,6.755947827,12.72143519,0.000831013,0.010043237,2.62660074,421,1.998126293,Upregulated
FPR3,1.450237164,3.007498467,11.25962941,0.001554902,0.015469823,2.62567565,422,1.810514663,Upregulated
RNF222,-1.075438863,-1.884703386,16.36812054,0.000180812,0.003666475,2.619501574,423,2.435751268,Downregulated
MERTK,1.20888532,3.784095202,14.09360213,0.000469596,0.0069767,2.606779782,424,2.156349935,Upregulated
IL4,-1.051497585,-0.23130498,16.79166664,0.000161667,0.0034192,2.59307248,425,2.466075546,Downregulated
ESCO2,1.18948842,-0.028274622,14.09299811,0.000472462,0.006995802,2.56354079,426,2.155162461,Upregulated
OR52K1,1.087475216,0.663905835,15.82748167,0.000233862,0.004412149,2.561384579,427,2.355349842,Upregulated
PTPRO,1.119082397,4.426148576,15.1753468,0.000302697,0.005207795,2.555252474,428,2.283346143,Upregulated
CCDC68,1.32230588,-0.960079833,12.19339988,0.001054037,0.011787022,2.550193711,429,1.928595909,Upregulated
SUCNR1,1.188854357,0.482967878,13.9435832,0.00050076,0.007253104,2.54352551,430,2.139476123,Upregulated
CDHR5,1.128128772,-0.023986948,14.8730066,0.0003441,0.005567154,2.543216047,431,2.254366797,Upregulated
NDC80,1.097120154,3.463255039,15.40795414,0.000275765,0.004918294,2.532356848,432,2.308185516,Upregulated
CD274,1.596299052,5.998993583,9.504664012,0.003391582,0.026343269,2.521083524,433,1.57933034,Upregulated
NRN1,1.62392372,-0.114052023,9.269799474,0.003789583,0.02803433,2.520832748,434,1.552309826,Upregulated
COBL,1.371993037,-1.183275222,11.49777695,0.001419846,0.014562463,2.520029023,435,1.83676517,Upregulated
OR5K2,-1.234985518,-1.66582044,13.022453,0.00072773,0.009259758,2.511219999,436,2.033400362,Downregulated
ZNF229,-1.061407644,0.587558972,15.80110185,0.000236525,0.004449757,2.496073803,437,2.351663678,Downregulated
TSPAN6,-1.021692654,-1.266867169,16.54784973,0.000179865,0.003652855,2.49024052,438,2.437367549,Downregulated
GALM,1.38612122,5.549750208,11.1372672,0.001640017,0.016016691,2.488679755,439,1.79542721,Upregulated
FMNL2,1.42192476,4.600868059,10.79135145,0.001908562,0.01777666,2.488581394,440,1.750149842,Upregulated
