Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
CYP19A1,6.577212459,1.607079234,52.90553719,3.60E-10,1.85E-08,50.86179098,1,7.733031478,Upregulated
SDC1,5.675177931,3.679666574,65.6242765,5.85E-11,4.46E-09,47.39042806,3,8.350474406,Upregulated
TMT1B,5.309073821,3.171864756,49.83587913,2.94E-09,9.85E-08,37.19922324,8,7.00672556,Upregulated
OLAH,7.794912573,4.612843009,27.17927482,2.61E-06,2.17E-05,36.35047679,10,4.66335914,Upregulated
TNFAIP8L3,7.015153156,-0.015171752,32.82269223,5.84E-07,6.69E-06,36.29891175,11,5.174357701,Upregulated
DCC,6.49977049,-0.983436553,36.7284101,2.21E-07,3.08E-06,35.81990836,12,5.51094972,Upregulated
ITGA7,4.902698486,4.10780232,53.08350571,1.26E-09,4.98E-08,35.80350964,13,7.302816957,Upregulated
CD177,6.711385876,8.519652937,33.2050791,3.81E-07,4.77E-06,35.71570759,14,5.32165908,Upregulated
RNASE1,5.15302231,4.187857497,48.16911171,4.65E-09,1.41E-07,35.30177403,16,6.850693031,Upregulated
POPDC1,4.560200754,0.066669532,50.41380441,9.06E-10,3.82E-08,33.82579755,17,7.417611498,Upregulated
MYBL2,3.650269154,5.967700603,76.84091227,4.74E-12,6.87E-10,33.4464376,18,9.162731892,Upregulated
CDC25A,3.42935704,2.905338117,82.49628887,1.50E-12,2.82E-10,32.74801063,21,9.549315004,Upregulated
KCNN3,4.134631468,2.633016289,59.42271357,2.58E-10,1.44E-08,32.42805989,23,7.843035139,Upregulated
PCSK9,8.212857752,1.802800049,21.65000451,2.06E-05,0.000114582,32.36590139,24,3.94088177,Upregulated
ADAMTS2,6.125141532,5.222891919,32.903393,4.23E-07,5.21E-06,32.36085384,25,5.283282627,Upregulated
MKI67,3.098762131,6.626239768,96.10512927,1.05E-13,4.08E-11,32.19247143,26,10.38881659,Upregulated
MCM10,3.299879662,2.917317483,82.91977525,1.37E-12,2.62E-10,31.62019678,27,9.582227239,Upregulated
KIF18B,3.176043,2.659059244,88.31450824,4.71E-13,1.17E-10,31.54959507,28,9.933617107,Upregulated
H2AC13,3.483996415,0.002001041,70.57446341,1.07E-11,1.16E-09,31.12611793,29,8.934026967,Upregulated
NES,4.762040808,-0.722479233,41.15522232,1.72E-08,3.96E-07,30.48543614,30,6.401758694,Upregulated
SKA3,3.040673577,2.168005209,86.19627937,7.22E-13,1.62E-10,29.77083266,31,9.790867682,Upregulated
HJURP,2.999205204,3.179899277,87.8701608,5.07E-13,1.23E-10,29.71960356,32,9.909159775,Upregulated
CDC6,3.164191617,3.867798433,79.02839927,3.00E-12,4.82E-10,29.48185996,33,9.317343425,Upregulated
BHLHA15,4.212854388,1.579797029,47.98467439,4.57E-09,1.39E-07,28.88608381,34,6.856653744,Upregulated
H3C8,4.089934384,-1.991739823,49.4622461,2.81E-09,9.57E-08,28.70795354,35,7.019172156,Upregulated
H2AC7,3.177012009,1.069790791,74.30418566,8.34E-12,1.01E-09,28.58520383,36,8.997512047,Upregulated
PYCR1,3.518077407,2.499801177,62.64301511,1.18E-10,7.72E-09,28.53984607,37,8.112341704,Upregulated
ANKRD45,5.140636871,-0.392479432,33.65397394,1.98E-07,2.81E-06,28.53663715,38,5.551187113,Upregulated
MZB1,3.632298773,7.047998174,58.77899162,2.93E-10,1.59E-08,28.33121733,40,7.799803678,Upregulated
SLC26A8,3.184794234,5.191922111,72.40317448,1.24E-11,1.31E-09,28.28627972,41,8.881666333,Upregulated
RRM2,3.116363768,6.373876542,73.37221525,1.00E-11,1.11E-09,27.91032233,42,8.956054043,Upregulated
GALNT14,3.492651756,4.001441179,60.24103547,2.05E-10,1.20E-08,27.6607268,43,7.919692182,Upregulated
SHCBP1,3.057730142,4.299709802,74.08363129,8.58E-12,1.02E-09,27.4867815,44,8.989276434,Upregulated
ALDH1L2,3.491124482,2.242951859,59.6765474,2.42E-10,1.38E-08,27.43701461,45,7.859076565,Upregulated
H3C4,2.993835663,2.704648245,76.57175975,5.09E-12,7.30E-10,27.35366808,47,9.136663183,Upregulated
WFDC1,6.340628756,0.625724216,23.82261055,7.22E-06,4.87E-05,27.34261899,48,4.312288267,Upregulated
GTSE1,2.767782825,3.309425,86.92089899,6.09E-13,1.39E-10,27.28303734,49,9.857362035,Upregulated
BUB1,3.021188585,4.83393789,74.70336907,7.49E-12,9.43E-10,27.26763089,50,9.025464686,Upregulated
KIF14,2.890129771,2.682355352,80.43200883,2.27E-12,3.97E-10,27.17195396,51,9.401638029,Upregulated
CLSPN,2.692276664,3.663601294,89.63840952,3.58E-13,9.74E-11,26.95386334,53,10.01155034,Upregulated
KIF4A,2.988013581,2.929997897,73.84594439,9.10E-12,1.06E-09,26.81516276,54,8.974243938,Upregulated
CDC45,2.899227631,2.599477794,77.93776383,3.82E-12,5.70E-10,26.80044488,55,9.243994711,Upregulated
TICRR,2.976699078,1.905881729,72.47629568,1.26E-11,1.32E-09,26.43527405,56,8.880734452,Upregulated
CDC20,3.119369975,3.952625094,66.28369864,4.91E-11,3.87E-09,26.24199669,57,8.41259514,Upregulated
BUB1B,2.800861294,3.415154488,79.00434605,3.02E-12,4.78E-10,26.10543932,58,9.320504151,Upregulated
DIAPH3,3.018882348,1.813343525,69.52944227,2.42E-11,2.29E-09,26.08343067,59,8.640095131,Upregulated
CDCA5,2.809714989,3.722577045,77.25412999,4.36E-12,6.38E-10,25.83637474,60,9.195372071,Upregulated
KIF4B,3.478553011,-1.956323443,50.8657953,9.51E-10,3.96E-08,25.74944149,61,7.402342701,Upregulated
ESPL1,2.854831851,3.118596794,73.50277037,9.77E-12,1.09E-09,25.58108566,63,8.960627803,Upregulated
HP,3.834009844,6.696465371,46.34068177,7.57E-09,2.14E-07,25.57014645,64,6.669295982,Upregulated
