Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
TBC1D10C,-1.323829279,7.24577229,31.180659,5.84E-07,8.02E-06,6.746152838,1380,5.095938688,Downregulated
ST8SIA1,-1.687167187,-0.176455556,22.11845738,1.55E-05,0.000100363,6.746017121,1381,3.998428355,Downregulated
TM7SF2,-1.45105958,1.438747519,27.32301626,2.26E-06,2.25E-05,6.745227127,1382,4.648483921,Downregulated
TNNI2,-1.530078336,3.156600859,25.34925367,4.56E-06,3.92E-05,6.741849852,1383,4.406212214,Downregulated
MRPL38,-1.499161894,3.989090525,26.11519714,3.45E-06,3.18E-05,6.741742749,1384,4.497007813,Downregulated
SUPT3H,-1.209399073,1.834363316,35.69133273,1.32E-07,2.67E-06,6.740136629,1385,5.573128655,Downregulated
ARHGAP4,-1.296731211,7.18998609,32.07519289,4.32E-07,6.38E-06,6.736621281,1386,5.195079152,Downregulated
CCDC124,-1.611655384,2.734852875,23.49589093,9.06E-06,6.61E-05,6.736149352,1387,4.179646232,Downregulated
RPS6KA4,-1.150986215,4.713000277,38.42921574,5.48E-08,1.41E-06,6.73479628,1388,5.851326621,Downregulated
ARL6IP4,-1.400616412,6.479808229,28.6347575,1.41E-06,1.56E-05,6.734315226,1389,4.80810818,Downregulated
GIMAP1,-1.12935585,5.029545606,39.38564524,4.07E-08,1.12E-06,6.721743673,1390,5.951838537,Downregulated
RPL35A,-1.204350859,8.505102814,35.74967088,1.29E-07,2.63E-06,6.721189882,1391,5.580757327,Downregulated
URGCP,-1.226557939,2.612587579,34.7037914,1.81E-07,3.34E-06,6.717170928,1393,5.476439974,Downregulated
NKPD1,-1.54103063,-2.236567691,23.12304053,5.26E-06,4.41E-05,6.712224694,1394,4.355672473,Downregulated
PMVK,-1.475663631,4.134544502,26.50680952,3.00E-06,2.83E-05,6.711125155,1395,4.547869184,Downregulated
CASTOR1,-1.343663012,1.099044265,30.30101755,8.03E-07,1.02E-05,6.709219428,1396,4.993230721,Downregulated
CCDC154,-1.542287177,-0.008402382,24.98157178,5.37E-06,4.47E-05,6.708860942,1397,4.349942762,Downregulated
SAC3D1,-1.727862243,1.250004368,21.18367412,2.20E-05,0.000131343,6.70686041,1398,3.881594402,Downregulated
TSSC4,-1.513370004,4.179963759,25.54653499,4.24E-06,3.71E-05,6.704842718,1400,4.430405453,Downregulated
FSCN1,-1.317620691,-0.079036042,31.14190806,6.17E-07,8.35E-06,6.691359211,1403,5.078365311,Downregulated
PPP1R14B,-1.378911716,3.206771927,29.01060527,1.23E-06,1.42E-05,6.686377886,1404,4.849025364,Downregulated
CDIP1,-1.184678753,4.230134725,36.31597284,1.07E-07,2.27E-06,6.685468169,1405,5.643275153,Downregulated
DOHH,-1.679125829,0.259015742,21.98639863,1.64E-05,0.000104603,6.683688592,1407,3.980457257,Downregulated
DTX3,-1.519771082,2.627467293,25.27671283,4.69E-06,4.02E-05,6.681015787,1408,4.396067187,Downregulated
TBCD,-1.054165527,4.667218839,43.31146492,1.23E-08,4.60E-07,6.680452434,1409,6.337194929,Downregulated
RPL29,-1.236286642,8.386609585,34.03663176,2.25E-07,3.96E-06,6.678243925,1411,5.401857222,Downregulated
PPDPF,-1.718972026,3.964573245,21.1430618,2.21E-05,0.000132,6.668624559,1412,3.879425878,Downregulated
ACP5,-1.38447104,4.0734613,28.69818275,1.38E-06,1.53E-05,6.66567295,1413,4.814599045,Downregulated
SGSM2,-1.088888044,4.562087118,41.16017317,2.36E-08,7.57E-07,6.665027095,1414,6.120948001,Downregulated
HLA-DQA1,-1.565437572,4.938119626,24.10872729,7.20E-06,5.59E-05,6.657691173,1417,4.252926653,Downregulated
RPL39,-1.292173543,8.972898244,31.67593952,4.94E-07,7.09E-06,6.654167465,1420,5.149592717,Downregulated
TIMM13,-1.589488003,3.191760544,23.55028997,8.87E-06,6.54E-05,6.651354378,1421,4.184589229,Downregulated
C8orf82,-1.30311192,1.676210938,31.27326303,5.71E-07,7.90E-06,6.649277418,1422,5.102614225,Downregulated
