Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
CYP19A1,6.577212459,1.607079234,52.90553719,3.6e-10,3.861964285714286e-09,55.335349576765424,1,7.733031477999999,Upregulated,8.413191746762976
SDC1,5.675177931,3.6796665739999996,65.62427650000001,5.85e-11,9.01125e-10,51.33320433047638,2,8.350474406,Upregulated,9.045214961468382
CROCC2,-3.828845798,-1.255727627,114.8426665,4.55e-17,4.6698299999999996e-14,51.04119057930492,3,12.55490404,Downregulated,13.330698929156748
PRSS35,-3.45481855,-1.6588202369999998,114.4838814,1.78e-17,4.2773400000000004e-14,46.186868840376434,4,12.59372137,Downregulated,13.368826226887206
HBB,-4.47160331,8.180025448,78.6156022,3.2599999999999994e-12,9.916177215189872e-11,44.73238003152426,5,9.297943558,Downregulated,10.003655720418603
NRCAM,-3.367115581,0.557300255,133.3542886,3.12e-16,8.07408e-14,44.085330998010065,6,12.31737485,Downregulated,13.092906951806256
ENHO,-3.165045658,-1.046072411,126.75123119999999,1.27e-16,5.3667000000000004e-14,42.00108223106851,7,12.49285625,Downregulated,13.270292681214936
TMT1B,5.309073821,3.171864756,49.83587913,2.9399999999999998e-09,2.221641509433962e-08,40.63207280982134,8,7.00672556,Upregulated,7.653326018768375
OLAH,7.7949125729999995,4.612843009,27.17927482,2.61e-06,6.412914110429447e-06,40.47854897138554,9,4.66335914,Upregulated,5.19294457664542
TNFAIP8L3,7.015153156,-0.015171752,32.82269223,5.839999999999999e-07,1.8736341789052066e-06,40.17799329916566,10,5.174357701,Upregulated,5.727315199783167
DCC,6.49977049,-0.983436553,36.728410100000005,2.21e-07,8.363196850393701e-07,39.50318504889025,11,5.51094972,Upregulated,6.077627680802965
CD177,6.7113858760000005,8.519652937,33.205079100000006,3.8100000000000004e-07,1.3097896995708157e-06,39.48173028953191,12,5.32165908,Upregulated,5.882798429266162
SLC4A10,-3.646957451,2.46160284,90.46893986,3.12e-13,1.66608e-11,39.308016625168364,13,10.05740892,Downregulated,10.778304148953001
ITGA7,4.902698486,4.10780232,53.08350571,1.26e-09,1.0930613718411553e-08,39.03212532663196,14,7.302816957,Upregulated,7.9613554531429855
RNASE1,5.15302231,4.1878574969999995,48.16911171,4.65e-09,3.248241279069768e-08,38.587643472503515,15,6.8506930310000005,Upregulated,7.488351718877676
B3GALT2,-2.847841691,0.537855576,138.7086642,1.34e-16,5.3667000000000004e-14,37.79169274933607,16,12.49285625,Downregulated,13.270292681214936
POPDC1,4.560200753999999,0.066669532,50.41380441,9.06e-10,8.37353076923077e-09,36.83315819887767,17,7.417611497999999,Upregulated,8.077091379490104
PCSK9,8.212857752,1.802800049,21.65000451,2.0600000000000003e-05,3.691409395973155e-05,36.40601979394885,18,3.94088177,Upregulated,4.432807786678545
MYBL2,3.6502691539999996,5.967700603,76.84091227,4.74e-12,1.3400258823529413e-10,36.03869419528985,19,9.162731892,Upregulated,9.872886813236308
ADAMTS2,6.125141532000001,5.222891918999999,32.903393,4.2299999999999996e-07,1.4316464788732393e-06,35.79633292580736,20,5.283282627,Upregulated,5.844164210540133
KCNN3,4.134631468,2.633016289,59.42271357,2.58e-10,2.9637e-09,35.26082251499084,21,7.8430351389999995,Upregulated,8.528165759848767
CDC25A,3.42935704,2.905338117,82.49628887,1.4999999999999999e-12,5.300735294117646e-11,35.23892027731391,22,9.549315004,Upregulated,10.275663882846654
KLRB1,-2.742453114,5.19807713,122.10111,1.26e-15,1.8923625e-13,34.892219085644435,23,11.97202662,Downregulated,12.722995666734462
HTR3A,-2.6133539619999997,-2.1337479,108.31315359999998,5.829999999999999e-17,4.6698299999999996e-14,34.83783486274094,24,12.55490404,Downregulated,13.330698929156748
