Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
OTOF,7.2064520320000005,6.420714133,53.92960708,2.2e-09,8.249e-08,51.047614219516404,1,5.845109831,Upregulated,7.083598696396124
IFI27,7.754856947,6.070012618,47.11072763,1.2099999999999999e-08,2.944333333333333e-07,50.64707172230662,2,5.2722849830000005,Upregulated,6.531013024282757
SIGLEC1,4.836896928,8.273598938,88.63973493,1.75e-12,2.555e-10,46.39846146567038,3,8.23662184,Upregulated,9.59260909552927
IFI44L,4.676575338999999,10.840793,69.99480374,6.17e-11,6.005466666666667e-09,38.4482454693621,4,6.9317868439999994,Upregulated,8.221453239238002
LY6E,3.702443127,8.378503809,94.73741693,6.059999999999999e-13,1.7695199999999999e-10,36.10676046782102,5,8.395487679,Upregulated,9.752144524385296
TMPRSS2,4.648225267,-1.877232786,48.60307022,8.050000000000001e-09,2.1369090909090913e-07,31.004657034219957,6,5.418084616,Upregulated,6.670213953341938
FBXO39,3.70274723,1.42095579,67.90371557,9.88e-11,7.446000000000001e-09,30.09621447892434,7,6.8233796589999995,Upregulated,8.128076968117627
IFI44,3.6530876389999998,9.998906781,63.36288382,2.52e-10,1.47168e-08,28.611664099025923,8,6.554278253,Upregulated,7.832186612106057
EPHB2,2.87805837,3.560314008,97.45525648,3.84e-13,1.7695199999999999e-10,28.06724117385677,9,8.395487679,Upregulated,9.752144524385296
RSAD2,4.499251288,10.19302853,42.86575758,3.63e-08,6.624750000000001e-07,27.800111113225338,10,4.950020911,Upregulated,6.178830506171394
OAS3,3.8057576460000004,10.66536136,56.92462186,1.0800000000000002e-09,5.256000000000001e-08,27.70342153467242,11,6.02065052,Upregulated,7.279344643448275
OAS1,3.504661139,9.173617451,63.59858131,2.39e-10,1.47168e-08,27.449160052844164,12,6.554278253,Upregulated,7.832186612106057
CMPK2,3.753183673,8.118872949,53.78879155,2.26e-09,8.249e-08,26.58604697339802,13,5.845109831,Upregulated,7.083598696396124
SPATS2L,4.535720207,6.506669176,36.85506231,1.95e-07,2.0335714285714288e-06,25.816142709689007,14,4.443823622,Upregulated,5.691740568531283
USP18,4.500603873999999,6.22472251,32.6719871,6.78e-07,4.212255319148936e-06,24.19293002260873,15,4.124733231,Upregulated,5.375485312620236
SMTNL1,3.950362236,6.342586364,39.25836609,9.82e-08,1.246713043478261e-06,23.32386103821473,16,4.670038078999999,Upregulated,5.904233496782225
SERPING1,4.299462448,8.149299936,33.27845899,5.64e-07,3.829953488372093e-06,23.289356135467884,17,4.171155713,Upregulated,5.416806500147826
ISG15,4.2204513839999995,5.87370203,34.33117345,4.1e-07,3.1889473684210524e-06,23.19708914212945,18,4.2592142719999995,Upregulated,5.496352648456299
C1QC,4.356368755,1.164918398,30.39276063,1.34e-06,6.688547008547009e-06,22.542762934845655,19,3.9277503439999997,Upregulated,5.174668216268954
EPSTI1,3.0101369460000003,8.376611681,51.701896600000005,3.75e-09,1.1526315789473683e-07,20.885261726930146,20,5.683319895,Upregulated,6.93830948611271
HES4,3.481230458,-0.563759296,37.96126405,1.11e-07,1.3505e-06,20.433101011827922,21,4.632503941,Upregulated,5.86950541147653
MX1,3.3267604439999996,10.13687941,40.72003712,6.530000000000001e-08,9.079809523809525e-07,20.100031313739734,22,4.802270742,Upregulated,6.041923262010427
IFIT3,3.249792539,11.16090782,41.55302712,5.19e-08,7.976210526315789e-07,19.81789588350801,23,4.860489745,Upregulated,6.098203391655953
IFIT1,3.5794135810000003,10.53574667,34.50792185,3.89e-07,3.1996619718309858e-06,19.66850501164692,24,4.264298073,Upregulated,5.4948959002809685
XAF1,2.722252143,10.21354481,52.71761813,2.92e-09,1.0031058823529411e-07,19.052098733928677,25,5.7530895289999995,Upregulated,6.998653222817456
HESX1,4.945913063,2.670496922,19.17206443,6.48e-05,0.00014226766917293236,19.026402216518505,26,2.739281415,Upregulated,3.846893783648074
OAS2,3.050351585,9.956747801,43.64247421,2.9500000000000003e-08,5.940689655172414e-07,18.99198658673135,27,4.986969684,Upregulated,6.2261631348083935
AGRN,2.891391151,2.705884163,46.59937301,1.3600000000000001e-08,2.94162962962963e-07,18.884866885421992,28,5.288039006,Upregulated,6.53141200867637
IFITM3,3.0740754480000003,9.288425519,41.30830187,5.55e-08,8.310769230769231e-07,18.69148163076583,29,4.839925653,Upregulated,6.080358776791424
EIF2AK2,2.582364628,8.658094516,54.93262948,1.7199999999999999e-09,7.174857142857143e-08,18.448895137484943,30,5.92014529,Upregulated,7.14418674165829
JUP,2.805003521,5.053380239,43.88699314,2.76e-08,5.756571428571428e-07,17.502762237034624,31,5.00372317,Upregulated,6.239836102164602
HERC5,3.2127136739999997,8.76527123,32.97290495,6.18e-07,4.010133333333333e-06,17.33850547864627,32,4.148071399,Upregulated,5.39684118723811
MT2A,3.596583617,4.98695235,26.76185175,4.45e-06,1.732533333333333e-05,17.124479756221827,33,3.554981623,Upregulated,4.761318400962351
IRF7,2.5978268719999997,5.95011718,46.80450932,1.28e-08,2.9199999999999997e-07,16.97580402673931,34,5.282387531,Upregulated,6.534617148551582
DDX60,2.576291951,8.233854797000001,46.7669711,1.3e-08,2.9199999999999997e-07,16.83508156268001,35,5.28840585,Upregulated,6.534617148551582
TRIM6,2.9347957439999997,2.8264321839999997,37.36280539,1.69e-07,1.8621886792452828e-06,16.816310110919506,36,4.4883886539999995,Upregulated,5.7299763178747165
ERICH3,4.316288328,2.717171175,19.41895382,5.9e-05,0.00013201532567049806,16.744503831909416,37,2.76787233,Upregulated,3.8793756485837374
OASL,2.903116783,8.102119187000001,34.67930362,3.7e-07,3.131594202898551e-06,15.979435611296369,38,4.263021757,Upregulated,5.504234519557861
AXL,3.1809428019999997,2.322576014,28.78958645,2.3e-06,1.0143157894736842e-05,15.88507745830874,39,3.763471811,Upregulated,4.993826813962542
C1QB,3.5179156810000003,2.562374293,24.38033316,9.99e-06,3.2808988764044946e-05,15.77435908498195,40,3.288984251,Upregulated,4.484007155196495
IFI6,3.011632055,7.7922324110000005,30.88329049,1.18e-06,6.152857142857143e-06,15.693383249648848,41,3.966494814,Upregulated,5.210923168251656
DEFB1,5.237377071,-1.102837085,12.35725633,0.000927478,0.0012714721877934273,15.165836830686967,42,1.96793431,Upregulated,2.895693135150048
RNASE1,2.86165033,1.43783684,31.49405905,9.83e-07,5.573514563106796e-06,15.03474127961141,43,4.011075088,Upregulated,5.253870859760637
LAMP3,3.9407944930000003,5.4176473,18.91211261,7.099999999999999e-05,0.00015357037037037034,15.02897867126009,44,2.7131217110000003,Upregulated,3.8136925683275127
SPIC,3.6586691960000004,-2.423751276,20.66732364,3.02e-05,8.016727272727272e-05,14.985919603123698,45,2.954712186,Upregulated,4.096002890752656
PHF24,-2.380274628,-0.27981363600000003,43.07429598,3.75e-08,6.492705882352941e-07,14.728126043967109,46,4.952765278999999,Downregulated,6.187574270092631
ANKRD45,3.821500186,-1.48365154,18.500832199999998,6.43e-05,0.00014170264150943396,14.707509894823264,47,2.7402929589999996,Upregulated,3.8486220539001863
PLSCR1,2.473154911,8.561523187,39.05360995,1.04e-07,1.2922553191489363e-06,14.563547800599268,48,4.652051411,Upregulated,5.888651671524538
RUFY4,2.8599987689999997,5.109155925,28.76766881,2.31e-06,1.0143157894736842e-05,14.282338540532061,49,3.7645025469999998,Upregulated,4.993826813962542
IFIT2,2.850453305,11.45068374,28.50109993,2.52e-06,1.0742189781021898e-05,14.163637891366916,50,3.745170644,Upregulated,4.968907179262463
C2,2.766398938,4.504518285,28.59360178,2.44e-06,1.0477647058823529e-05,13.775937031800286,51,3.751072013,Upregulated,4.979736234919089
HERC6,2.433549412,7.098837027,35.40957712,2.98e-07,2.71925e-06,13.544043029611432,52,4.316667299,Upregulated,5.565550862795233
NTNG2,2.373969329,5.558625853,36.9414239,1.9e-07,2.0174545454545458e-06,13.520221199788562,53,4.448639036,Upregulated,5.695196241429016
DHX58,2.272082611,6.343296209,38.68309363,1.1599999999999999e-07,1.3548799999999998e-06,13.332806079228872,54,4.6270527580000005,Upregulated,5.868099167996701
EXOC3L1,3.091365515,-0.765969346,22.33489155,1.87e-05,5.433233830845771e-05,13.18449339738829,55,3.106390747,Upregulated,4.26494160377159
ZCCHC2,1.942542235,8.755173577,49.76072491,6.06e-09,1.76952e-07,13.116325915442424,56,5.509339378,Upregulated,6.7521445243852956
KIF18B,2.248884136,0.301903028,38.34642587,1.3e-07,1.4886274509803922e-06,13.104729069230203,57,4.581173415,Upregulated,5.8272139766787
TRPV4,1.943154175,0.30481240000000004,48.44076441,8.71e-09,2.211582608695652e-07,12.932267828652268,58,5.398900009,Upregulated,6.6552968338975305
LGALS3BP,2.47465486,5.514871889,29.88486412,1.62e-06,7.69170731707317e-06,12.655328655108319,59,3.8697435980000003,Upregulated,5.113977249784368
ZBP1,2.136377619,8.086608466,39.42329182,9.37e-08,1.2160177777777777e-06,12.63680196092651,60,4.683025992,Upregulated,5.915060075775166
RPL7,-1.2893002709999999,9.298160376,91.6162981,1.04e-12,2.0245333333333333e-10,12.49805789255607,61,8.338728375,Downregulated,9.693675068308483
IFIH1,2.3115717559999998,7.959030007999999,32.97654774,6.18e-07,3.985318681318681e-06,12.481417097614758,62,4.146182213,Upregulated,5.399536945032114
PLVAP,3.0543119639999996,1.058533485,20.61564906,3.81e-05,9.549527896995707e-05,12.27838937294485,63,2.889417589,Upregulated,4.020018098238
SLC12A8,2.582115635,0.282237739,25.98884416,5.85e-06,2.13525e-05,12.059903456945236,64,3.46580363,Upregulated,4.6705512694613445
CCL2,4.472671799,5.282827956,11.16630275,0.001619455,0.0020295315879828323,12.04313480348911,65,1.79930705,Upregulated,2.6926041848591966
NKAIN1,4.440981119,-2.347318888,11.17223062,0.001618713,0.0020295315879828323,11.957804345900078,66,1.79930705,Upregulated,2.6926041848591966
CCL8,4.740853294,2.189634868,10.06789585,0.002635513,0.003078279184,11.90756326542588,67,1.653151838,Upregulated,2.5116919944550977
ADAMTS5,-2.245566826,-0.036392188,31.44366867,1.03e-06,5.674716981132076e-06,11.780368857110139,68,4.00239353,Downregulated,5.246055793447199
ANGPT1,-1.9403585890000001,2.069744827,41.09712938,5.9000000000000006e-08,8.614e-07,11.767877326014228,69,4.82214824,Downregulated,6.064795132573419
PTPRU,2.839834481,-0.123029759,20.45052841,4e-05,9.881181434599156e-05,11.374079863398132,70,2.87977841,Upregulated,4.005191126277522
CXCL10,4.3785716169999995,5.237291014,10.4712949,0.002198499,0.0026256102576687115,11.300085131811075,71,1.70867013,Upregulated,2.5807697395968106
VSIG10L,1.995938174,0.60434658,36.28638623,2.3399999999999998e-07,2.2775999999999996e-06,11.262126146939838,72,4.39461913,Upregulated,5.642522545861102
CDC45,1.822562148,0.9507963159999999,43.06171864,3.48e-08,6.668903225806452e-07,11.256044650774815,73,4.951518293,Upregulated,6.175945584696086
SLC8A2,2.871309737,-2.237258201,18.82739056,5.3700000000000004e-05,0.00012395573122529646,11.217441617872161,74,2.7949483880000003,Upregulated,3.906733388363863
HRK,-2.008543801,-1.160579212,34.71008456,3.7799999999999997e-07,3.1535999999999998e-06,11.049387887742125,75,4.267058711000001,Downregulated,5.501193393064632
CLSPN,1.489953719,2.5372346709999998,58.55489223,7.399999999999999e-10,3.9287272727272726e-08,11.034221950860463,76,6.153513441,Upregulated,7.4057481183148495
CACNA1A,2.031075914,2.679066664,32.96098522,6.21e-07,3.985318681318681e-06,10.966869435807869,77,4.148071399,Upregulated,5.399536945032114
KIT,-1.5763093590000001,1.701857476,51.83003656,3.65e-09,1.1526315789473683e-07,10.936922178597946,78,5.683319895,Downregulated,6.93830948611271
FAP,2.965183091,-0.419179284,17.77865045,0.00010666299999999999,0.00021332599999999998,10.8850572812937,79,2.5867082040000002,Upregulated,3.6709562098651864
SHISA5,1.48975464,8.642634886,56.537873499999996,1.18e-09,5.300923076923077e-08,10.838931108738143,80,6.00954623,Upregulated,7.275648497888312
KLHDC7B,1.952790781,2.6995255869999997,34.82627369,3.5399999999999997e-07,3.074588235294117e-06,10.76419880536948,81,4.27256865,Upregulated,5.512213038949962
PARP9,1.79218583,9.723831275,39.84419644,8.33e-08,1.1056181818181818e-06,10.674966408567746,82,4.719539402,Upregulated,5.956394827967
IL17RD,3.056520765,-2.003588573,15.93354761,0.000181263,0.0003297744299065421,10.642142105261845,83,2.435331578,Upregulated,3.481783021769147
DRAP1,1.713785136,5.838428704,41.70124658,4.98e-08,8.018162162162162e-07,10.447105937380957,84,4.861061339,Upregulated,6.0959251646706765
NEXN,2.467246442,5.500122202999999,22.32069642,2.0399999999999998e-05,5.868768472906403e-05,10.4400374164119,85,3.073987872,Upregulated,4.231453023374915
MKI67,1.892431688,4.827673034,33.96759952,4.5799999999999995e-07,3.3093333333333332e-06,10.371016710202339,86,4.236404245,Upregulated,5.480259486228989
HELZ2,1.8385542590000001,6.437341968999999,36.2695189,2.3100000000000002e-07,2.2964067796610168e-06,10.367517707618072,87,4.391770246,Upregulated,5.638951179638845
PARP12,1.7856667380000002,8.013764775,37.92051935,1.44e-07,1.6172307692307691e-06,10.34120321967968,88,4.545882751000001,Upregulated,5.7912280044271505
PARP14,1.9531782290000002,10.41661128,31.12648924,1.09e-06,5.894074074074074e-06,10.214310417177348,89,3.984289139,Upregulated,5.229584410433927
RNF150,4.1719385860000004,-2.040715067,9.458031636,0.0033476409999999997,0.0037380924359464627,10.126754974636432,90,1.5832123,Upregulated,2.427349963544365
CD177,4.025209943999999,5.433877087000001,10.03712706,0.002667763,0.0030912174444444446,10.102755471091298,91,1.650070229,Upregulated,2.5098704444349598
TMEM255A,2.576461117,3.39470331,19.78422578,5.13e-05,0.00012031807228915662,10.098875117501501,92,2.80832331,Upregulated,3.9196691348715205
CCL1,3.741049572,-2.140453014,10.93625858,0.001652152,0.00204418806779661,10.06147482703937,93,1.793500881,Upregulated,2.6894791510769562
SAMD9L,2.061024109,10.09289942,27.65219744,3.32e-06,1.3504999999999999e-05,10.036168051959093,94,3.6580004760000002,Upregulated,4.86950541147653
ANKUB1,-1.8274916719999998,0.34174253299999996,34.23760043,4.32e-07,3.241948717948718e-06,10.031456063726708,95,4.248842378,Downregulated,5.489193859224716
KIFC1,1.76776335,1.385128809,36.39815264,2.24e-07,2.295017543859649e-06,9.968795814728656,96,4.39044556,Upregulated,5.6392139902259295
RPS23,-1.1101317179999999,9.325275547999999,79.38912625,9.579999999999999e-12,1.1189439999999999e-09,9.937001762502543,97,7.603144637000001,Downregulated,8.951191648145075
HMMR,1.7312942530000002,0.6277829420000001,37.15008816,1.8100000000000002e-07,1.957481481481482e-06,9.882751031891255,98,4.463374236,Upregulated,5.708302337841385
MCM10,1.95407119,0.449812145,29.45880665,1.88e-06,8.78336e-06,9.880446985494835,99,3.8185263989999996,Upregulated,5.056339316631977
FBXO6,1.7981213109999998,4.664735631,33.53515591,5.21e-07,3.622190476190476e-06,9.783629687373146,100,4.193014069,Upregulated,5.441028715649957
PARP10,1.730896489,6.69346667,36.16774491,2.3800000000000001e-07,2.2785573770491804e-06,9.76630654912832,101,4.391699486,Upregulated,5.642340030841855
CDK18,1.600289708,2.208880933,41.636296200000004,5.08e-08,7.976210526315789e-07,9.758892124957715,102,4.861061339,Upregulated,6.098203391655953
HTR3A,-1.577024173,-2.057993516,40.62989153,4.13e-08,6.8912e-07,9.71715796148047,103,4.923988163,Downregulated,6.161705145581475
TYMP,1.757302828,8.101643178,34.86908286,3.4899999999999996e-07,3.1146666666666666e-06,9.676743411799052,104,4.269312139,Upregulated,5.506588424951338
IFIT5,1.984621826,7.282029771,27.61455716,3.36e-06,1.352e-05,9.66316992914222,105,3.6555668669999997,Upregulated,4.869023308394383
CFB,2.401107945,1.771076616,20.45531856,4.01e-05,9.881181434599156e-05,9.616896234548456,106,2.87977841,Upregulated,4.005191126277522
CES1,1.965329919,5.97391442,27.54672265,3.44e-06,1.3574054054054055e-05,9.56583149811213,107,3.652305189,Upregulated,4.867290425711028
JPH4,1.545402781,1.175976592,42.98697586,3.54e-08,6.624750000000001e-07,9.54878184756491,108,4.951518293,Upregulated,6.178830506171394
TICRR,1.625065108,-0.019596673000000002,38.836547100000004,1.14e-07,1.3548799999999998e-06,9.536043208195268,109,4.6270527580000005,Upregulated,5.868099167996701
ARHGAP23,1.705542066,-0.180676795,35.71548559,2.81e-07,2.604825396825397e-06,9.524124473601447,110,4.335986397,Upregulated,5.584221382436103
VWA3B,3.2554399239999996,-1.816485214,12.25380342,0.0008871780000000001,0.0012219621509433963,9.48290848303208,111,1.981419536,Upregulated,2.912942245722757
IQGAP3,1.6746510380000001,-0.363228536,36.39654976,2.3199999999999999e-07,2.2775999999999996e-06,9.449256238364697,112,4.39461913,Upregulated,5.642522545861102
RD3L,2.181816767,-2.2724943019999997,22.190993,1.55e-05,4.714583333333333e-05,9.43975391526354,113,3.156058203,Upregulated,4.326556683420859
ENTPD2,-2.01359155,-1.247244477,25.93852695,5.89e-06,2.136496894409938e-05,9.404072053433044,114,3.468690423,Downregulated,4.670297734132348
SDC2,-1.667977772,0.358563291,34.21840306,4.3299999999999997e-07,3.241948717948718e-06,9.155853343385722,115,4.248842378,Downregulated,5.489193859224716
IFI35,1.954605711,7.040433071,26.01362971,5.72e-06,2.100930817610063e-05,9.1428407040585,116,3.473710604,Upregulated,4.677588248415028
RTP4,2.336665785,5.2775335530000005,19.67003174,5.3500000000000006e-05,0.00012395573122529646,9.128730239706956,117,2.795950796,Upregulated,3.906733388363863
HJURP,1.749567281,0.916497385,30.55934993,1.31e-06,6.652521739130434e-06,9.057533778584329,118,3.9314488439999997,Upregulated,5.177013697585448
E2F8,1.829492436,0.25420285800000003,28.33837333,2.69e-06,1.1301870503597122e-05,9.050224059037399,119,3.727247333,Upregulated,4.946849673139288
