Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
VPS13B,1.121163495,5.553192576,15.00243856,0.000261695,0.001568875,3.14420412,1269,2.804411787,Upregulated
OAS1,1.585095943,8.663878727,9.093095269,0.003718664,0.010666891,3.125749172,1277,1.97196213,Upregulated
CLEC5A,1.306635994,4.226388485,11.8600311,0.001034802,0.004092119,3.120314355,1281,2.388051738,Upregulated
FRYL,1.042303226,5.184833571,16.60254355,0.000133544,0.001030823,3.113167836,1283,2.986815888,Upregulated
SLC14A2,1.323623466,-1.873664433,11.40243337,0.001185091,0.004510202,3.104961186,1285,2.345803973,Upregulated
FBXL13,1.313511184,3.74757666,11.67313278,0.001125769,0.004338686,3.103356367,1288,2.362641754,Upregulated
OIP5,1.010346299,-0.04001441,17.35534875,9.92E-05,0.000856836,3.098835638,1291,3.067102477,Upregulated
LTN1,1.095289082,5.077992121,15.21888325,0.000238691,0.00149007,3.096155809,1293,2.826793274,Upregulated
ARHGEF35,1.094796366,0.018737412,15.22976736,0.000240043,0.001493904,3.093541406,1296,2.825677453,Upregulated
CRYM,1.573925128,0.246319258,9.051469186,0.003805562,0.010860406,3.091431247,1297,1.964153943,Upregulated
SH3RF2,1.743299933,-1.744726493,7.814493733,0.006635612,0.016875579,3.090419811,1299,1.772741312,Upregulated
ARL5B,1.02902083,4.240587008,16.71350501,0.000127539,0.001000345,3.086908467,1300,2.999850321,Upregulated
LEPR,1.041047446,3.243657155,16.37574989,0.000146776,0.001097506,3.081077013,1303,2.959593269,Upregulated
LRRC37A3,1.08982205,2.061250217,15.21691404,0.000239088,0.001490589,3.080537017,1304,2.826642219,Upregulated
ZNF441,1.035033287,3.300755649,16.49695254,0.000139554,0.001060193,3.078825805,1305,2.974615255,Upregulated
MCM2,1.086983445,2.573587467,15.2141171,0.000239266,0.001490395,3.07257444,1310,2.82669847,Upregulated
PLCXD2,1.330060274,-0.195596256,11.33078494,0.00132263,0.00489868,3.072334067,1311,2.309920932,Upregulated
SERPINB2,1.42211513,2.577474844,10.27430801,0.002135585,0.006945768,3.069322262,1312,2.158279732,Upregulated
EIF2AK2,1.403391662,7.336294528,10.38643646,0.00202692,0.006674598,3.053183646,1318,2.17557488,Upregulated
H4C9,1.340124245,-1.978289053,10.91069856,0.001470853,0.005279031,3.052060295,1319,2.277445771,Upregulated
PLSCR4,1.642124905,-1.181444171,8.367804297,0.005202481,0.013903198,3.049237587,1320,1.856885295,Upregulated
DOCK1,1.274884996,0.135682226,11.80924945,0.001065103,0.004172484,3.03372317,1323,2.37960536,Upregulated
TRIM22,1.359840825,9.442350312,10.73734977,0.001724005,0.005936341,3.027660001,1325,2.226481177,Upregulated
ITGB3,1.192889237,6.110996788,12.94772069,0.000637469,0.002905405,3.026113412,1326,2.536793289,Upregulated
PIK3C2A,1.016103813,4.390638099,16.47609751,0.000140751,0.001065876,3.020158745,1328,2.972293486,Upregulated
SPIN4,1.055551993,1.343779573,15.50376663,0.000212078,0.001377012,3.020000092,1329,2.861062374,Upregulated
ART4,2.214899451,-3.257168586,5.40825414,0.021593719,0.043554158,3.014412542,1331,1.360970378,Upregulated
SBF2,1.172699402,5.431447474,13.17715872,0.000576239,0.002715358,3.009349337,1333,2.566172825,Upregulated
SLFN12,1.02741898,4.549802083,15.98473218,0.000172806,0.001209045,2.997554082,1336,2.917557627,Upregulated
