Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
NDUFB2,-1.012570849,4.991133963,16.23716951,0.000155484,0.001131748,2.983287126,1340,2.94625026,Downregulated
SMIM29,-1.019792726,4.383413103,16.01818304,0.000170401,0.001199288,2.978892419,1342,2.921076355,Downregulated
KHK,-1.14755266,1.271408249,13.3727395,0.000529976,0.002560414,2.974100452,1343,2.591689738,Downregulated
CNTNAP2,-1.400137559,0.000123963,10.05074503,0.002383612,0.007565978,2.969880642,1346,2.121134901,Downregulated
WNT10A,-1.119181402,-0.52213785,13.83566106,0.000437926,0.002249938,2.963401476,1348,2.64782945,Downregulated
CLPP,-1.01519399,3.633768967,15.96559496,0.00017421,0.001214102,2.960046629,1350,2.915744831,Downregulated
BAD,-1.108373867,2.746540956,13.93252976,0.000414521,0.002166395,2.952998795,1352,2.664262379,Downregulated
RPSA,-1.048114944,9.258646488,15.08733682,0.000252408,0.001540135,2.947761554,1354,2.812441108,Downregulated
MARCHF9,-1.043983007,3.480378988,15.15960127,0.000244797,0.001516229,2.943233781,1356,2.819235333,Downregulated
UBALD1,-1.198583321,2.247530045,12.33592122,0.000836516,0.003512678,2.941756895,1357,2.454361615,Downregulated
LTBP3,-1.150758037,3.52418124,13.07937208,0.000601594,0.002780128,2.941263057,1358,2.555935272,Downregulated
LMNA,-1.048072973,3.716163539,14.96615716,0.000265791,0.001586285,2.934204724,1359,2.799618729,Downregulated
CFD,-1.313493483,4.737711621,10.76895002,0.001699161,0.005870652,2.930815906,1360,2.231313626,Downregulated
GP1BB,-1.317590673,2.744050213,10.70386138,0.001751046,0.006007681,2.926755086,1362,2.221293112,Downregulated
RPS29,-1.024358443,8.510869828,15.41668388,0.000219501,0.001410896,2.919938868,1363,2.850505005,Downregulated
RASA4,-1.007914599,4.026629868,15.71742672,0.000193348,0.001300215,2.908826278,1366,2.885984864,Downregulated
NIBAN3,-1.144753677,3.682648409,12.95853502,0.000634475,0.002894942,2.905797067,1369,2.538360108,Downregulated
PRSS1,-1.068369032,1.78373656,14.32172951,0.000350647,0.001911789,2.904425398,1371,2.718560079,Downregulated
MOSPD3,-1.029174573,2.63448735,15.17206466,0.000243556,0.001511168,2.902979459,1372,2.820687116,Downregulated
GTSF1L,-1.159065564,-1.929469167,12.46615484,0.000730837,0.003193588,2.892704401,1374,2.495721115,Downregulated
OCM2,-1.079571439,-2.037458773,13.7277589,0.000403984,0.002120658,2.886266026,1378,2.673529442,Downregulated
PCBP4,-1.086014687,2.913897736,13.86437025,0.00042694,0.002210222,2.883981566,1381,2.655564055,Downregulated
PHLDB3,-1.004255033,0.712221949,15.57884349,0.000206067,0.001355268,2.880178261,1383,2.867974934,Downregulated
CISD3,-1.07418305,3.639778053,14.02621678,0.000397971,0.002096815,2.877134736,1384,2.678439894,Downregulated
ANKRD35,-1.185970819,-0.177734479,12.14637915,0.000918575,0.003772776,2.87400935,1385,2.423339011,Downregulated
MRPL55,-1.003614396,3.180170367,15.50802779,0.000211217,0.001375181,2.87198322,1386,2.86164012,Downregulated
SERP2,-1.056653081,-2.025151275,14.05304412,0.000351549,0.001915954,2.871576156,1387,2.717614899,Downregulated
MATK,-1.242104931,3.815046936,11.31957008,0.001321273,0.004894927,2.869577632,1388,2.310253796,Downregulated
SLC25A39,-1.234944809,6.314608454,11.33874567,0.001309752,0.004857294,2.857175286,1393,2.313605649,Downregulated
FCER1A,-1.229078668,4.326445404,11.38912591,0.001280155,0.004770497,2.853227945,1397,2.321436389,Downregulated
SLC5A5,-1.129054484,-0.60085077,12.86934451,0.000667588,0.002995871,2.849142831,1398,2.52347683,Downregulated
ICOSLG,-1.011733484,1.376955709,15.10813062,0.000250704,0.001532176,2.847717408,1399,2.814691272,Downregulated
TRIM46,-1.020147155,0.883318186,14.80695131,0.000285581,0.001663352,2.835005098,1404,2.779015834,Downregulated
PRSS8,-1.148287526,-2.275817165,11.95497475,0.00085936,0.003587702,2.807773882,1411,2.445183649,Downregulated
CLCN1,-1.284482696,-0.485877775,10.4687191,0.001967238,0.006538498,2.80598075,1412,2.184522032,Downregulated
LSR,-1.102007044,1.986801463,12.95958374,0.000634564,0.002894942,2.797290718,1415,2.538360108,Downregulated
COPE,-1.011655096,6.093550457,14.65788477,0.000303182,0.001729875,2.794176438,1417,2.761985235,Downregulated
CYP2S1,-1.060646511,1.357375069,13.70568878,0.000458186,0.002323259,2.793639344,1418,2.633902357,Downregulated
SPATC1L,-1.127746344,-0.136285506,12.43698967,0.000806858,0.003434929,2.778859747,1420,2.464082248,Downregulated
FBLN5,-1.048392457,1.90972917,13.80929847,0.000437556,0.002248843,2.776186041,1421,2.648040839,Downregulated
FDXR,-1.061811901,2.070468315,13.53000147,0.000494051,0.002443335,2.773470674,1424,2.61201694,Downregulated
SHISAL2A,-1.045594717,2.027110888,13.80581346,0.000438155,0.002250299,2.76848373,1427,2.647759869,Downregulated
KCNH2,-1.121803499,-0.465309993,12.46492838,0.000798186,0.003405914,2.768348882,1428,2.467766311,Downregulated
PDZD4,-1.105720864,4.035712549,12.68442378,0.000716182,0.003148375,2.766417994,1429,2.501913534,Downregulated
MYL4,-1.409499856,2.5841614,9.017349151,0.003855892,0.010973276,2.762145675,1430,1.959663681,Downregulated
PRSS41,-1.454982888,-1.825330697,8.544577699,0.004649139,0.012693809,2.759241267,1431,1.896408053,Downregulated
FAAP100,-1.050726577,3.197797979,13.63556721,0.000471579,0.002368405,2.75872888,1432,2.625544019,Downregulated
