Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
PLA2G7,-1.245168048,2.389641868,14.39860668,0.001251536,0.003485639,3.060271437,2560,2.457717608,Downregulated
NDUFS7,-1.107858163,-1.420376723,17.24362843,0.000542824,0.001786002,3.044525155,2565,2.748118175,Downregulated
TSPO2,-1.050614542,0.68923094,18.968227,0.000353036,0.001271149,3.042373414,2566,2.895803639,Downregulated
ZNF780B,-1.105515035,4.508383571,17.32898944,0.000542553,0.00178629,3.03800847,2567,2.748048081,Downregulated
TMEM178B,-1.500139782,-1.201926914,10.58836026,0.00416142,0.009483423,3.034835128,2568,2.023034896,Downregulated
ZNF260,-1.105322317,3.619728465,17.18118566,0.000564911,0.00184242,3.02262692,2569,2.734611319,Downregulated
PDZD7,-1.300298178,-1.69111991,12.87089807,0.00183731,0.004789338,3.016333522,2572,2.319724485,Downregulated
PLEKHA1,-1.111213515,5.436164911,16.93533219,0.000604287,0.001948371,3.011753463,2574,2.710328325,Downregulated
ZNF157,-1.229669462,-0.246472813,14.37018892,0.001284704,0.003562439,3.010541401,2577,2.448252555,Downregulated
FAM98B,-1.055759477,3.930402105,18.43600347,0.000403377,0.001417159,3.007416828,2578,2.848581417,Downregulated
STK39,-1.017575421,4.13628808,19.61346994,0.000297336,0.001111432,3.006036996,2579,2.954117144,Downregulated
FAM161A,-1.150472646,0.633353899,15.87892142,0.00081696,0.002471444,2.999338857,2582,2.607049256,Downregulated
BACH2,-1.391905947,5.851705106,11.57597187,0.003036262,0.007262288,2.97718456,2590,2.138926532,Downregulated
SPTBN5,-1.301944575,2.305527883,12.82181083,0.002031192,0.005213652,2.972154554,2594,2.282857974,Downregulated
NCR3,-1.075324226,3.178367836,17.45354055,0.000524558,0.001740647,2.967130536,2595,2.759289211,Downregulated
ZNF607,-1.169719822,2.25430169,15.10419343,0.001016162,0.002951515,2.959338603,2597,2.529955077,Downregulated
ZFP1,-1.012566046,2.708587367,19.23732346,0.000327493,0.001198143,2.958203108,2599,2.92149151,Downregulated
USP53,-1.104562604,4.712408133,16.55433191,0.000671602,0.002115134,2.954331845,2601,2.674662199,Downregulated
RFPL2,-1.441401097,-0.632718113,10.87430462,0.003893364,0.008972063,2.950703248,2604,2.047107675,Downregulated
ENTPD3,-1.356734674,-1.722354885,11.57565869,0.002787742,0.006776007,2.942793014,2607,2.16902617,Downregulated
HOMER1,-1.048151027,0.191572766,17.98789182,0.00045976,0.001572317,2.938449398,2609,2.803459923,Downregulated
SIDT1,-1.083640526,5.104718682,16.91449921,0.000607771,0.001958116,2.934673655,2611,2.708161594,Downregulated
CIB2,-1.16758416,-1.162330961,14.87913345,0.001089825,0.003116336,2.926381207,2613,2.506355692,Downregulated
DKK3,-1.333138479,-1.383001446,11.86537087,0.002684664,0.006566808,2.909768974,2620,2.182645704,Downregulated
CHIC1,-1.126876648,4.607597273,15.59914924,0.000880045,0.002631666,2.907081627,2621,2.579769161,Downregulated
