Strain,name,p_value,-log10(p-value),intersection_size,term_size,query_size
Beta,Immune System,4.17574382479886e-11,10.379266152460023,475,2079,1874
Beta,Neutrophil degranulation,3.868045886953026e-05,4.4125083824865845,127,476,1874
Beta,Interleukin-4 and Interleukin-13 signaling,0.0002527672027546127,3.59727927764729,41,111,1874
Beta,Interferon alpha/beta signaling,0.0017995316100722772,2.7448405202478634,30,76,1874
Beta,Cytokine Signaling in Immune system,0.003121393701246561,2.505651450336445,180,777,1874
Beta,Innate Immune System,0.005902554481313948,2.228959995638508,241,1099,1874
Beta,Extracellular matrix organization,0.00830209967295649,2.0808120568940027,80,298,1874
Beta,Interferon gamma signaling,0.03863154395939467,1.413057934370172,31,91,1874
