Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
CROCC2,-3.828845798,-1.255727627,114.8426665,4.55E-17,2.79E-13,48.07079158,2,12.55490404,Downregulated
PRSS35,-3.45481855,-1.658820237,114.4838814,1.78E-17,2.55E-13,43.50902219,4,12.59372137,Downregulated
HBB,-4.47160331,8.180025448,78.6156022,3.26E-12,5.04E-10,41.57671519,5,9.297943558,Downregulated
NRCAM,-3.367115581,0.557300255,133.3542886,3.12E-16,4.82E-13,41.47402478,6,12.31737485,Downregulated
ENHO,-3.165045658,-1.046072411,126.7512312,1.27E-16,3.21E-13,39.54046044,7,12.49285625,Downregulated
SLC4A10,-3.646957451,2.46160284,90.46893986,3.12E-13,8.76E-11,36.6789424,9,10.05740892,Downregulated
B3GALT2,-2.847841691,0.537855576,138.7086642,1.34E-16,3.21E-13,35.57767687,15,12.49285625,Downregulated
KLRB1,-2.742453114,5.19807713,122.10111,1.26E-15,1.07E-12,32.83272168,19,11.97202662,Downregulated
HTR3A,-2.613353962,-2.1337479,108.3131536,5.83E-17,2.79E-13,32.81040821,20,12.55490404,Downregulated
CACNA2D3,-3.162181326,1.378481963,94.11168386,1.65E-13,5.50E-11,32.44334554,22,10.25979923,Downregulated
SHISA4,-2.737688201,1.41570432,95.64394427,1.21E-13,4.44E-11,28.34304302,39,10.35291126,Downregulated
ELOVL4,-2.526239467,0.482402576,103.7262727,3.16E-14,1.46E-11,27.3722488,46,10.83517582,Downregulated
HBD,-3.796272045,2.96720356,51.34062426,1.97E-09,7.16E-08,27.12401979,52,7.144909393,Downregulated
NTN4,-2.636076877,-0.382702214,86.33677476,8.22E-13,1.73E-10,25.73083814,62,9.761034805,Downregulated
DNASE1L3,-2.582579794,-0.726847191,78.54330373,3.38E-12,5.16E-10,23.98465454,82,9.287091379,Downregulated
SEZ6L,-2.819084611,0.071526262,66.94855878,4.94E-11,3.87E-09,23.71486392,86,8.412256884,Downregulated
IL23R,-2.501147964,-2.105365716,68.27735107,1.94E-12,3.44E-10,23.66817074,87,9.462923055,Downregulated
IL17RE,-2.079403202,-0.663006377,107.1266211,1.88E-14,9.28E-12,22.9407662,94,11.03237995,Downregulated
FGF9,-2.368307238,-1.84641276,74.50365763,1.15E-12,2.32E-10,22.81577663,97,9.633790864,Downregulated
CD1C,-2.183838296,2.771868875,95.16425522,1.26E-13,4.51E-11,22.59264607,99,10.34538414,Downregulated
DCANP1,-2.649495714,-0.596253189,68.10501253,3.45E-11,3.04E-09,22.56626565,101,8.517192738,Downregulated
GFPT2,-2.466132608,-1.470986684,70.26523949,8.13E-12,1.00E-09,22.19094117,110,8.99827572,Downregulated
RORC,-2.250364704,1.896076662,85.72957061,7.78E-13,1.69E-10,21.99084983,113,9.772127065,Downregulated
LRRN3,-2.86624258,3.256441451,56.9373309,4.64E-10,2.23E-08,21.92949348,114,7.650955167,Downregulated
ANKUB1,-2.764793785,-2.091455608,50.4320514,2.90E-10,1.57E-08,21.57309041,118,7.802784617,Downregulated
HBA2,-3.371103948,7.316247357,41.48515192,3.02E-08,6.23E-07,20.92009093,133,6.205709244,Downregulated
CTTNBP2,-2.697614235,-2.075951602,50.08951565,3.67E-10,1.87E-08,20.84980808,134,7.728980596,Downregulated
RPS3A,-1.720869833,8.711182291,122.8253003,1.13E-15,1.01E-12,20.64215842,138,11.99518873,Downregulated
AJAP1,-2.541283749,-1.588849962,57.22617259,1.60E-10,9.68E-09,20.36632458,144,8.014187549,Downregulated
