Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
PHF24,-2.380274628,-0.279813636,43.07429598,3.75E-08,1.11E-05,11.78894153,41,4.952765279,Downregulated
RPL7,-1.289300271,9.298160376,91.6162981,1.04E-12,4.58E-09,10.75112475,47,8.338728375,Downregulated
ANGPT1,-1.940358589,2.069744827,41.09712938,5.90E-08,1.51E-05,9.356696758,63,4.82214824,Downregulated
ADAMTS5,-2.245566826,-0.036392188,31.44366867,1.03E-06,9.95E-05,8.987642137,66,4.00239353,Downregulated
KIT,-1.576309359,1.701857476,51.83003656,3.65E-09,2.07E-06,8.958670339,67,5.683319895,Downregulated
HRK,-2.008543801,-1.160579212,34.71008456,3.78E-07,5.41E-05,8.570574323,72,4.267058711,Downregulated
RPS23,-1.110131718,9.325275548,79.38912625,9.58E-12,2.49E-08,8.440492017,74,7.603144637,Downregulated
HTR3A,-1.577024173,-2.057993516,40.62989153,4.13E-08,1.19E-05,7.765248359,88,4.923988163,Downregulated
ANKUB1,-1.827491672,0.341742533,34.23760043,4.32E-07,5.64E-05,7.764724064,89,4.248842378,Downregulated
RPS17,-1.109243726,5.394451992,67.59067678,1.02E-10,1.50E-07,7.568791075,96,6.823379659,Downregulated
SDC2,-1.667977772,0.358563291,34.21840306,4.33E-07,5.64E-05,7.086974646,110,4.248842378,Downregulated
ENTPD2,-2.01359155,-1.247244477,25.93852695,5.89E-06,0.000339867,6.984525724,111,3.468690423,Downregulated
NRXN1,-1.711786617,-1.57695477,31.1273619,1.03E-06,9.94E-05,6.851253851,116,4.002399472,Downregulated
ENAM,-1.627106711,-0.833030742,33.2387064,6.11E-07,7.19E-05,6.742028543,120,4.143568764,Downregulated
SCRT2,-1.568526472,-0.789813755,34.70225413,3.95E-07,5.46E-05,6.685882251,123,4.26252433,Downregulated
RSPH14,-1.755953014,-1.668519456,28.8623568,2.02E-06,0.000161461,6.658456318,125,3.791933079,Downregulated
CCL23,-1.953310188,-0.747192631,24.70087021,9.33E-06,0.000489986,6.465098702,130,3.309816711,Downregulated
CCDC125,-1.168528371,5.443241809,48.71461207,7.88E-09,3.82E-06,6.331185593,132,5.418084616,Downregulated
GPR183,-1.387460068,5.203307062,34.79065695,3.58E-07,5.34E-05,5.928018389,148,4.27256865,Downregulated
TNR,-1.660591022,-2.234171211,24.5565202,6.45E-06,0.000361238,5.716097584,153,3.442206725,Downregulated
CCL4L2,-2.072266387,-0.820773121,18.94717352,7.21E-05,0.00196289,5.609840525,160,2.707103952,Downregulated
HRH4,-1.323709456,3.245447159,32.54657047,7.05E-07,7.67E-05,5.447284438,165,4.115166219,Downregulated
LYPD6B,-1.751522873,-2.046272663,21.36288939,2.33E-05,0.000925923,5.313113084,173,3.033424894,Downregulated
ENPP1,-1.275418645,-1.401438927,32.40664349,7.63E-07,8.18E-05,5.213262635,179,4.087491316,Downregulated
XKRX,-1.366044698,0.477839008,28.92674671,2.22E-06,0.000171361,5.1446441,184,3.766087676,Downregulated
RPS18,-1.333510977,9.61185836,29.62350461,1.76E-06,0.000143076,5.126592008,186,3.844431803,Downregulated
RPL9,-1.254205251,8.762648377,31.0595453,1.12E-06,0.000105124,4.989602144,192,3.978297922,Downregulated
RPL3,-1.030339149,9.612375776,40.82455691,6.34E-08,1.56E-05,4.952690036,195,4.806854169,Downregulated
PAQR5,-1.314726065,-2.217063633,27.34056357,2.63E-06,0.000184765,4.908371506,199,3.733379627,Downregulated
RFPL4A,-2.169225713,-1.721896383,14.63444277,0.000348326,0.005594269,4.885653055,200,2.252256658,Downregulated
